"SETTLEMENT_SE_ACCOUNT_NUMBER","SETTLEMENT_ACCOUNT_NAME_CODE",SETTLEMENT_DATE,"SUBMISSION_SE_ACCOUNT_NUMBER",RECORD_CODE,ADJUSTMENT_RECORD_CODE,"SUPPORTING_REFERENCE_NUMBER",SETTLEMENT_GROSS_AMOUNT,"SETTLEMENT_DISCOUNT_AMOUNT",SETTLEMENT_NET_AMOUNT,SERVICE_FEE_RATE,SETTLEMENT_TAX_AMOUNT,SETTLEMENT_TAX_RATE,"CARD_MEMBER_ACCOUNT_NUMBER","ADJUSTMENT_RECORD_MESSAGE_CODE","ADJUSTMENT_MESSAGE_DESCRIPTION","SUBMISSION_SE_BRANCH_NUMBER",SUBMISSION_GROSS_AMOUNT,SUBMISSION_CURRENCY_CODE,"ADJUSTMENT_MESSAGE_REFERENCE",GENERATED_PAYMENT_NUMBER
9790000026,002,2013-06-21,9790000026,2,30,0,-4459,76,-4375,1700,8,11000,3778770000060.00,CBK0400187,"DEBIT FOR ILLEGIBLE ACCOUNT NUMBER",,-4459,AUD,0812425048512,"5e3c5d9d-33e7-3ac6-aeb2-a98cd91258cd"
9790000026,002,2013-06-21,9790000026,2,30,0,-40936,696,-40170,1700,70,10000,3778770000040.07,CBK0400225,"DEBIT AS NO APPROVAL GAINED",,-40936,AUD,0812425048513,"5e3c5d9d-33e7-3ac6-aeb2-a98cd91258cd"
9790000026,002,2013-06-21,9790000026,2,30,0,23172,-394,22739,1700,-39,10000,3778770000060.00,CBK0400174,"CREDIT FOR NO REPLY",,23172,AUD,0812425043924,"5e3c5d9d-33e7-3ac6-aeb2-a98cd91258cd"
9790000026,002,2013-06-21,9790000026,2,30,0,-4459,76,-4375,1700,8,11000,3778770000060.00,CBK0400187,"DEBIT FOR ILLEGIBLE ACCOUNT NUMBER",,-4459,AUD,0812425048512,"5e3c5d9d-33e7-3ac6-aeb2-a98cd91258cd"
9790000026,002,2013-06-21,9790000026,2,30,0,-40936,696,-40170,1700,70,10000,3778770000040.07,CBK0400225,"DEBIT AS NO APPROVAL GAINED",,-40936,AUD,0812425048513,"5e3c5d9d-33e7-3ac6-aeb2-a98cd91258cd"
9790000026,002,2013-06-21,9790000026,2,30,0,23172,-394,22739,1700,-39,10000,3778770000060.00,CBK0400174,"CREDIT FOR NO REPLY",,23172,AUD,0812425043924,"5e3c5d9d-33e7-3ac6-aeb2-a98cd91258cd"
9790000078,002,2013-06-21,9790000078,2,30,0,-48771,829,-47859,1700,83,10000,3778770000040.07,CBK0400225,"DEBIT AS NO APPROVAL GAINED",,-48771,AUD,0813530764462,"61f2162d-365c-352e-a4dd-f47f567b74af"
9790000078,002,2013-06-21,9790000078,2,30,0,-10962,186,-10757,1700,19,10000,3778770000060.00,CBK0400355,"DEBIT AS NO APPROVAL GAINED",,-10962,AUD,0813530764465,"61f2162d-365c-352e-a4dd-f47f567b74af"
9790000078,002,2013-06-21,9790000078,2,30,0,25832,-439,25349,1700,-44,10000,3778770000060.00,CBK0400174,"CREDIT FOR NO REPLY",,25832,AUD,0813530764464,"61f2162d-365c-352e-a4dd-f47f567b74af"
9790000078,002,2013-06-21,9790000078,2,30,0,-94673,1609,-92903,1700,161,10000,3778770000060.00,CBK0400020,"DEBIT FOR DUPLICATE CHARGE",,-94673,AUD,0813530764471,"61f2162d-365c-352e-a4dd-f47f567b74af"
9790000078,002,2013-06-21,9790000078,2,30,0,-48771,829,-47859,1700,83,10000,3778770000040.07,CBK0400225,"DEBIT AS NO APPROVAL GAINED",,-48771,AUD,0813530764462,"61f2162d-365c-352e-a4dd-f47f567b74af"
9790000078,002,2013-06-21,9790000078,2,30,0,-10962,186,-10757,1700,19,10000,3778770000060.00,CBK0400355,"DEBIT AS NO APPROVAL GAINED",,-10962,AUD,0813530764465,"61f2162d-365c-352e-a4dd-f47f567b74af"
